Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
Capital Region,0.902,-0.123,C,0.931,-0.187,C,2.371,0.193,C,1.904,0.359,B-,0.587,-0.476,C-,0.725,0.568,B-,5.255,-2.524,E,,,
Central NY,0.891,-0.202,C,0.834,-0.516,C-,5.312,-1.362,D-,1.615,0.520,B-,0.398,-1.277,D-,3.371,-1.557,D-,2.255,-0.604,C-,,,
Finger Lakes,0.951,0.227,C,1.102,0.390,B-,2.249,0.257,B-,2.160,0.215,C,0.668,-0.135,C,1.517,-0.068,C,0.910,0.256,B-,,,
Long Island,1.075,1.113,B,0.700,-0.968,D,1.177,0.824,B,2.553,-0.004,C,0.903,0.858,B,0.303,0.907,B,0.906,0.259,B-,,,
Mid-Hudson,1.023,0.740,B-,0.746,-0.813,D,2.005,0.387,B-,1.964,0.325,B-,0.781,0.342,B-,0.973,0.370,B-,1.082,0.146,C,,,
Mohawk Valley,0.598,-2.311,E,0.952,-0.115,C,0.000,1.447,A-,0.000,1.422,A-,0.726,0.113,C,0.000,1.151,B,0.000,0.838,B,,,
New York City,1.011,0.657,B-,0.577,-1.385,D-,2.330,0.215,C,4.226,-0.939,D,1.017,1.340,A-,1.753,-0.258,C-,1.346,-0.023,C,,,
North Country,0.808,-0.804,D,1.157,0.578,B-,2.798,-0.033,C,6.720,-2.332,E,1.035,1.414,A-,0.000,1.151,B,0.000,0.838,B,,,
Southern Tier,1.034,0.821,B,1.354,1.242,B,2.570,0.088,C,2.004,0.302,B-,0.492,-0.876,D,2.776,-1.079,D,0.000,0.838,B,,,
Western NY,0.903,-0.117,C,1.510,1.773,A,6.551,-2.017,E,2.311,0.131,C,0.391,-1.303,D-,2.908,-1.186,D,1.349,-0.025,C,,,
"St. Lawrence County PUMA, New York",1.225,1.0652558011,B,0.5302218416,-0.655563608,C-,0,0.4804459609,B-,0,0.3395229644,B-,1.2393930009,1.061222723,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.662,-1.607053098,D-,0.704186585,-0.3199460239,C-,2.4664934917,0.0645783498,C,24.2546935153,-1.1650724784,D,1.1918958521,0.9347217931,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Warren & Washington Counties PUMA, New York",1.216,1.0246932715,B,0.4145279867,-0.8787633859,D,0,0.4804459609,B-,0,0.3395229644,B-,1.1420889686,0.8020692603,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.143,0.6776476305,B-,1.319498854,0.8671313878,B,0,0.4804459609,B-,0,0.3395229644,B-,1.1451560644,0.8102379711,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.450,-2.6135980363,E,0.9780962312,0.2084880254,C,0,0.4804459609,B-,0,0.3395229644,B-,0.8556308323,0.0391346098,C,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.517,-2.2934070127,E,0.6589978578,-0.4071253635,C-,0,0.4804459609,B-,0,0.3395229644,B-,0.5336030343,-0.8185340489,D,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Jefferson & Lewis Counties PUMA, New York",1.143,0.6790129488,B-,1.461742187,1.1415511516,B,4.6714390452,-0.3071904965,C-,0,0.3395229644,B-,0.6301880023,-0.5612956971,C-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Oswego County PUMA, New York",1.172,0.8173929264,B,0.8073204886,-0.1209772505,C,0,0.4804459609,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.110583501,0.7181595722,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Onondaga County (Central)--Syracuse City PUMA, New York",0.862,-0.6554921239,C-,0.8901891275,0.0388952148,C,3.7343379575,-0.1491888671,C,0,0.3395229644,B-,0.1489904299,-1.8428871592,E,2.8113060435,-0.0629831876,C,4.0414119037,-0.6266589442,C-,,,
"Onondaga County (North) PUMA, New York",1.139,0.6576237296,B-,0.8383001278,-0.0612104756,C,0,0.4804459609,B-,0,0.3395229644,B-,1.145794874,0.8119393366,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",0.779,-1.0511158585,D,0.6464680561,-0.4312982027,C-,9.3979940759,-1.1041198847,D,12.9857997736,-0.4660273159,C-,0.4039670648,-1.1637983669,D,4.5800561798,-0.3872185192,C-,0,0.4119988743,B-,,,
"Cayuga & Onondaga (South) Counties PUMA, New York",1.154,0.7276906787,B-,1.3245916035,0.8769564606,B,0,0.4804459609,B-,0,0.3395229644,B-,1.1297052816,0.7690873244,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Wayne & Seneca Counties PUMA, New York",0.994,-0.0301248396,C,0.7258926186,-0.2780701448,C-,4.9685586759,-0.357286891,C-,9.4737450563,-0.2481634407,C,0.4111521725,-1.1446620013,D,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Monroe County (East) PUMA, New York",1.165,0.7840538247,B,1.198882443,0.6344348787,B-,0,0.4804459609,B-,0,0.3395229644,B-,0.0953087438,-1.9858595981,E,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.902,-0.4691535016,C-,0.7646285466,-0.2033397233,C,1.2571148465,0.268487831,B-,0.9450643671,0.2808976291,B-,1.5146669118,1.7943700083,A,3.393766756,-0.1697559524,C,19.3397320652,-4.5583838519,E,,,
"Monroe County (Central)--Rochester City (West) PUMA, New York",0.698,-1.4349795166,D-,0.8969555473,0.0519491787,C,1.0947006951,0.2958719637,B-,0,0.3395229644,B-,1.1612689243,0.8531519527,B,38.3157894737,-6.5714253483,E,0,0.4119988743,B-,,,
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0.667,-1.5846807326,D-,0.8252339927,-0.0864180241,C,2.1041049004,0.1256795359,C,0,0.3395229644,B-,0.876875339,0.0957158979,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Monroe County (North & West) PUMA, New York",1.168,0.7956796014,B,1.7242779764,1.6480424423,A-,0,0.4804459609,B-,0,0.3395229644,B-,1.169246646,0.8743993168,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Monroe County (South) PUMA, New York",0.993,-0.0348675461,C,1.0162387071,0.2820735425,B-,2.3701983552,0.0808143661,C,0,0.3395229644,B-,0.6400321573,-0.5350773916,C-,1.7255058771,0.1360583671,C,0,0.4119988743,B-,,,
"Genesee & Orleans Counties PUMA, New York",1.221,1.0471914847,B,0.1780407506,-1.3350010888,D-,33.7747035573,-5.2141992231,E,67.3333333333,-3.8373769175,E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.166,0.7880910742,B,0.2335976651,-1.2278191559,D,6.5771922602,-0.6285134757,C-,0,0.3395229644,B-,0.5479239071,-0.7803927336,D,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Niagara County (North & East) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Erie County (Northwest) PUMA, New York",0.731,-1.2803578186,D-,1.351827666,0.9295010241,B,3.841324835,-0.1672275837,C,0,0.3395229644,B-,0,-2.2396989343,E,14.5876130143,-2.2217362627,E,0,0.4119988743,B-,,,
"Erie County (North Central) PUMA, New York",1.063,0.2962132591,B-,1.5146308895,1.2435854961,B,8.1763249648,-0.8981381473,D,0,0.3395229644,B-,0.3552869417,-1.2934499564,D-,1.2645973885,0.220548999,C,0,0.4119988743,B-,,,
"Erie County (Northeast) PUMA, New York",1.155,0.7333320762,B-,0.874377976,0.008391905,C,0,0.4804459609,B-,0,0.3395229644,B-,1.0741271174,0.6210639245,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Erie County (Central) PUMA, New York",0.952,-0.2295511633,C,0.7784061933,-0.1767595071,C,7.7028656211,-0.8183096755,D,27.5219304183,-1.3677495294,D-,0.6851030847,-0.4150383077,C-,7.3155922039,-0.8886785116,D,19.4483275568,-4.5862932952,E,,,
"Erie County (West Central)--Buffalo City (East) PUMA, New York",0.394,-2.8795268237,E,0.4865165416,-0.7398810791,C-,6.4650273618,-0.6096017094,C-,0,0.3395229644,B-,0.3477130772,-1.3136217126,D-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.660,-1.615141746,D-,0.7034855228,-0.3212985324,C-,3.4527024094,-0.1017031944,C,3.8113205007,0.1030946849,C,0.1606679343,-1.8117860256,E,2.5222231641,-0.0099904662,C,0,0.4119988743,B-,,,
"Erie County (South) PUMA, New York",1.218,1.0333687636,B,0.3417604799,-1.0191484684,D,0,0.4804459609,B-,0,0.3395229644,B-,0,-2.2396989343,E,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Livingston & Wyoming Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4804459609,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1141310884,0.7276079942,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Ontario & Yates Counties PUMA, New York",1.206,0.9778661613,B,0.6901311966,-0.3470620669,C-,0,0.4804459609,B-,0,0.3395229644,B-,0.6633896805,-0.4728684277,C-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Madison & Cortland Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Fulton & Montgomery Counties PUMA, New York",0.964,-0.1717355921,C,0.7344635686,-0.2615348314,C-,0,0.4804459609,B-,0,0.3395229644,B-,0.6504619326,-0.5072993814,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Schenectady County--Schenectady City PUMA, New York",0.874,-0.5992538611,C-,1.0517319903,0.3505481641,B-,4.0838968768,-0.208126883,C,0,0.3395229644,B-,0.7490428505,-0.2447451418,C,7.6490978158,-0.9498145084,D,0,0.4119988743,B-,,,
"Saratoga County (South & Central) PUMA, New York",0.838,-0.7702261781,D,1.2615903982,0.7554127966,B,0,0.4804459609,B-,0,0.3395229644,B-,0.9157910321,0.1993615164,C,0,0.4523664531,B-,7.2543182843,-1.4523877765,D-,,,
"Saratoga County (Outer) PUMA, New York",0.623,-1.7910780717,E,0.1834363351,-1.3245917782,D-,8.0713246715,-0.8804343823,D,34.232848695,-1.7840490406,E,0.5221308219,-0.8490884203,D,0,0.4523664531,B-,28.5767640389,-6.9323352598,E,,,
"Rensselaer County--Troy City PUMA, New York",0.740,-1.2384604675,D,0.562934473,-0.5924534966,C-,4.5387578238,-0.2848195384,C-,21.5077527441,-0.994671044,D,0,-2.2396989343,E,1.8897378277,0.1059524749,C,6.2761578917,-1.2009969349,D,,,
"Albany County (East Central)--Albany City PUMA, New York",0.560,-2.0934701126,E,0.717377361,-0.2944980147,C-,8.026614661,-0.8728959698,D,0,0.3395229644,B-,0.9211361689,0.2135974189,C,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Albany County (Outside Albany City) PUMA, New York",1.037,0.1741490603,C,0.907423137,0.0721435415,C,0.4983289635,0.3964243017,B-,0,0.3395229644,B-,0.461902061,-1.0094979281,D,0,0.4523664531,B-,6.314950237,-1.2109667113,D,,,
"Columbia & Greene Counties PUMA, New York",0.907,-0.4445047769,C-,1.7882134382,1.7713884997,A,0,0.4804459609,B-,0,0.3395229644,B-,1.1961432015,0.9460339173,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",1.131,0.6184846842,B-,1.4602803579,1.1387309505,B,3.1495151598,-0.050583758,C,6.770718232,-0.0804861275,C,0.3989702807,-1.1771064885,D,6.2010233726,-0.6843632795,C-,0,0.4119988743,B-,,,
"Broome (Outer West) & Tioga Counties PUMA, New York",1.135,0.6393147192,B-,0.6454668573,-0.4332297432,C-,0,0.4804459609,B-,0,0.3395229644,B-,1.1327341603,0.7771542502,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Chenango, Delaware & Broome (East) Counties PUMA; New York",1.171,0.8089368541,B,1.1633539374,0.5658923051,B-,0.1957951061,0.4474335718,B-,0,0.3395229644,B-,0.0273425433,-2.1668765178,E,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Tompkins County PUMA, New York",1.118,0.5597918979,B-,0.5573974384,-0.6031356967,C-,3.3082068562,-0.0773402594,C,0.5406417112,0.305985247,B-,0.4128226842,-1.1402128651,D,2.3488877801,0.021784206,C,0,0.4119988743,B-,,,
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",1.004,0.0170778398,C,2.576163382,3.2915232781,A,0.32643511,0.4254067768,B-,0.6457276474,0.2994664337,B-,0.9623100571,0.3232573725,B-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",0.000,-4.7506121993,E,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4804459609,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0925278936,0.6700713988,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Cattaraugus & Allegany Counties PUMA, New York",1.189,0.8961127947,B,4.9794259114,7.9279636782,A,0,0.4804459609,B-,0,0.3395229644,B-,1.1886534518,0.9260861872,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Chautauqua County PUMA, New York",1.140,0.6657308217,B-,0.1922929005,-1.3075054477,D-,11.0605536332,-1.3844387559,D-,27.8284883721,-1.38676629,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Sullivan & Ulster (West) Counties PUMA, New York",0.952,-0.2274032047,C,0.7401340352,-0.2505952107,C-,0.0770647858,0.4674523129,B-,0.249877076,0.3240222981,B-,1.1913443598,0.933252983,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4119988743,B-,,,
"Ulster County (East) PUMA, New York",0.588,-1.9585560345,E,1.1529839634,0.5458862651,B-,3.230972484,-0.064318018,C,11.27692739,-0.3600205507,C-,0.753113541,-0.23390352,C,4.468972106,-0.3668553369,C-,1.1605982888,0.1137208181,C,,,
"Dutchess County (North & East) PUMA, New York",0.899,-0.4798086024,C-,0.8200832996,-0.0963548833,C,2.4516498397,0.0670810907,C,0,0.3395229644,B-,1.0154247053,0.4647195984,B-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Dutchess County (Southwest) PUMA, New York",0.995,-0.0261039532,C,1.2963424015,0.8224573204,B,1.4112366071,0.2425018518,C,0,0.3395229644,B-,0.9238000171,0.2206921452,C,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",0.976,-0.1159881694,C,0.6716303096,-0.3827544888,C-,0,0.4804459609,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0522401813,0.5627716304,B-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Orange County (Northwest) PUMA, New York",1.182,0.8620143338,B,0.5964073957,-0.5278766103,C-,0,0.4804459609,B-,0,0.3395229644,B-,0.8704664821,0.0786469499,C,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Orange County (Southeast) PUMA, New York",1.124,0.5891142257,B-,1.60021578,1.4086982289,A-,0,0.4804459609,B-,0,0.3395229644,B-,0.7254101433,-0.3076870136,C-,0,0.4523664531,B-,0,0.4119988743,B-,,,
"Rockland County (North)--New City & Congers PUMA, New York",0.885,-0.5461600594,C-,0.8450552674,-0.0481782739,C,3.0324014244,-0.0308375841,C,0,0.3395229644,B-,0.7329078047,-0.2877182119,C-,1.1631552851,0.2391446804,C,0,0.4119988743,B-,,,
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",1.194,0.9178322848,B,0.8270618011,-0.0828917656,C,0,0.4804459609,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.085030302,0.6501027832,B-,7.1959459459,-0.8667457675,D,0,0.4119988743,B-,,,
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",1.145,0.6849196478,B-,0.9137940276,0.0844344394,C,2.0511676927,0.1346051099,C,18.7582796548,-0.8241125219,D,0.7225524183,-0.3152980991,C-,1.306442577,0.2128782216,C,0,0.4119988743,B-,,,
"Putnam County PUMA, New York",0.913,-0.41467201,C-,0.6191223805,-0.4840542347,C-,55.0394571195,-8.7995815865,E,48.5904765025,-2.6746981578,E,0.8811476845,0.1070945951,C,10.6752526815,-1.5045487845,D-,2.5180278545,-0.2351436048,C,,,
"Westchester County (Northwest) PUMA, New York",0.998,-0.0092860644,C,0.6658148242,-0.3939738838,C-,3.1145779378,-0.0446931043,C,1.8575480158,0.2242933789,C,0.8126159551,-0.0754285187,C,0,0.4523664531,B-,1.4845495542,0.0304641438,C,,,
"Westchester County (Northeast) PUMA, New York",1.122,0.5780563387,B-,0.4462362523,-0.8175909249,D,5.1849480192,-0.3937716089,C-,13.9382331378,-0.5251097735,C-,0.7654154277,-0.2011394457,C,0,0.4523664531,B-,3.0434182942,-0.3701708925,C-,,,
"Westchester County (Southeast) PUMA, New York",1.113,0.5349425965,B-,0.6275387408,-0.4678171602,C-,0,0.4804459609,B-,0,0.3395229644,B-,0.7249524182,-0.3089060899,C-,0,0.4523664531,B-,1.1559602174,0.1149128196,C,,,
"Westchester County (Central)--White Plains City PUMA, New York",1.162,0.7689873789,B,0.5942683871,-0.5320032448,C-,2.6228356253,0.0382180007,C,9.7481555942,-0.2651859953,C-,0.7557001267,-0.2270145697,C,3.8831839564,-0.2594726088,C-,1.0434265734,0.1438343827,C,,,
"Westchester County (Southwest)--Yonkers City PUMA, New York",0.933,-0.3209268795,C-,0.8957813762,0.0496839353,C,0.2492455296,0.4384214661,B-,0,0.3395229644,B-,0.7165014081,-0.3314139804,C-,0.4592086359,0.3681874268,B-,0.6015651582,0.2573944019,B-,,,
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",0.891,-0.5197886566,C-,0.5064902719,-0.7013472073,C-,7.1682901676,-0.728176611,C-,0,0.3395229644,B-,0.5281428095,-0.8330764693,D,2.196381998,0.0497405362,C,2.8383284897,-0.3174620536,C-,,,
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",1.233,1.1055963378,B,0.4875607044,-0.7378666514,C-,0.8826062547,0.3316325317,B-,0,0.3395229644,B-,0.8907720769,0.1327275988,C,#DIV/0!,#DIV/0!,#DIV/0!,0.6158917564,0.2537124131,B-,,,
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",1.121,0.5740128007,B-,0.5699471776,-0.5789243935,C-,2.2516277254,0.1008061823,C,5.5016051876,-0.0017590266,C,0.9137084247,0.1938148304,C,3.1301033948,-0.1214229654,C,1.4981869486,0.026959283,C,,,
