Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_Overall
Capital Region,0.910,-0.667,C-,0.925,-0.478,C-,3.691,-1.289,D-,4.185,-1.873,E,0.740,-0.140,C,0.825,0.544,B-,5.301,-1.630,D-,-0.790,D
Central NY,1.010,0.282,B-,0.979,-0.312,C-,1.817,0.199,C,0.000,1.088,B,0.604,-0.917,D,2.566,-0.686,C-,1.329,0.277,B-,-0.010,C
Finger Lakes,1.059,0.751,B,1.092,0.037,C,2.251,-0.146,C,0.451,0.769,B,0.887,0.688,B-,1.469,0.089,C,5.746,-1.844,E,0.049,C
Long Island,1.100,1.144,B,0.898,-0.564,C-,0.861,0.958,B,2.003,-0.329,C-,0.884,0.675,B-,0.369,0.866,B,0.862,0.501,B-,0.464,B-
Mid-Hudson,1.026,0.440,B-,0.951,-0.400,C-,1.927,0.112,C,1.646,-0.077,C,0.845,0.452,B-,1.561,0.024,C,1.990,-0.041,C,0.073,C
Mohawk Valley,0.740,-2.295,E,1.726,2.002,A,0.698,1.087,B,2.886,-0.954,D,0.771,0.031,C,0.000,1.126,B,0.000,0.915,B,0.273,B-
New York City,0.986,0.059,C,0.845,-0.727,C-,1.645,0.335,B-,2.174,-0.450,C-,1.069,1.721,A-,1.624,-0.020,C,1.436,0.225,C,0.163,C
North Country,0.902,-0.747,C-,1.537,1.417,A-,0.849,0.968,B,0.000,1.088,B,0.817,0.295,B-,0.000,1.126,B,0.000,0.915,B,0.723,B-
Southern Tier,1.050,0.668,B-,0.675,-1.254,D-,2.325,-0.204,C,2.029,-0.348,C-,0.535,-1.306,D-,3.290,-1.197,D,2.390,-0.232,C,-0.553,C-
Western NY,1.018,0.365,B-,1.170,0.278,B-,4.611,-2.019,E,0.000,1.088,B,0.501,-1.500,D-,4.246,-1.872,E,0.000,0.915,B,-0.392,C-
"St. Lawrence County PUMA, New York",1.414,1.7252600529,A-,1.8703584812,1.1374948321,B,0,0.7464568008,B-,0,0.4991297525,B-,0.4659078747,-1.1091359362,D,0,0.4868878528,B-,0,0.299550837,B-,0.5408063131,B-
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.470,-2.178561305,E,0.7478204127,-0.3616239191,C-,0.1324831214,0.7040511222,B-,0,0.4991297525,B-,1.1784950071,0.7035476282,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.299550837,B-,#DIV/0!,#DIV/0!
"Warren & Washington Counties PUMA, New York",1.223,0.9369199862,B,0.2553600065,-1.0192912622,D,0,0.7464568008,B-,0,0.4991297525,B-,0,-2.2943152758,E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.680,-1.3099899487,D-,0.6073338655,-0.5492398434,C-,0.7231018298,0.5150037412,B-,3.6359789322,-0.2411469431,C,0.7802083333,-0.3096164814,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.299550837,B-,#DIV/0!,#DIV/0!
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.852,-0.5971314658,C-,8.0905263196,9.4443580943,A,0.7888446215,0.4939605498,B-,0,0.4991297525,B-,0.9804339763,0.1997187504,C,0,0.4868878528,B-,0,0.299550837,B-,1.5466391958,A-
"Jefferson & Lewis Counties PUMA, New York",0.000,-4.1210621577,E,#VALUE!,#VALUE!,#VALUE!,5.0967495285,-0.8849292963,D,#DIV/0!,#DIV/0!,#DIV/0!,1.4446386946,1.3805655901,A-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.299550837,B-,#DIV/0!,#DIV/0!
"Oswego County PUMA, New York",0.892,-0.4335380207,C-,0.9443606953,-0.0991497712,C,0,0.7464568008,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.8556695664,-0.1176577289,C,0,0.4868878528,B-,0,0.299550837,B-,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",0.717,-1.158562734,D,1.0400763951,0.0286759163,C,1.5038367453,0.2651032744,B-,0,0.4991297525,B-,0.2093381775,-1.7617995222,E,4.3597930281,-0.6445605435,C-,0,0.299550837,B-,-0.3532090028,C-
"Onondaga County (North) PUMA, New York",1.253,1.0606936004,B,1.0753693184,0.0758086458,C,0,0.7464568008,B-,0,0.4991297525,B-,1.1964446629,0.7492080738,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.299550837,B-,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.102,0.434877407,B-,0.8454154357,-0.2312884471,C,4.3887120051,-0.6582980747,C-,0,0.4991297525,B-,0.5676032706,-0.8504425577,D,5.6297229219,-0.9741312668,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Cayuga & Onondaga (South) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,0,0.7464568008,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1815649532,0.7113569759,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Wayne & Seneca Counties PUMA, New York",1.202,0.8493217512,B,3.9239312242,3.8799848128,A,0,0.7464568008,B-,0,0.4991297525,B-,1.1365579904,0.596867985,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.299550837,B-,#DIV/0!,#DIV/0!
"Monroe County (East) PUMA, New York",1.210,0.8818400698,B,1.1991442437,0.2411066581,C,4.3842887473,-0.6568822623,C-,0,0.4991297525,B-,0.6140075377,-0.7323990955,C-,0,0.4868878528,B-,49.5695348655,-4.6505693662,E,-0.5615551987,C-
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.875,-0.5046581917,C-,0.6835203945,-0.4474948269,C-,3.3741739824,-0.3335610603,C-,4.6193594905,-0.4413608947,C-,1.5640663026,1.6843662795,A-,5.1178221289,-0.8412833707,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Monroe County (Central)--Rochester City (West) PUMA, New York",0.610,-1.6010792557,D-,0.9343431979,-0.1125278637,C,5.0657249799,-0.8749988461,D,0,0.4991297525,B-,0.7694254326,-0.337046091,C-,35.3157894737,-8.6782245982,E,0,0.299550837,B-,-1.5435994379,D-
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0.583,-1.7125673138,D-,1.089866782,0.09516961,C,16.5115303983,-4.5386138079,E,#DIV/0!,#DIV/0!,#DIV/0!,0.814132277,-0.2233205433,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Monroe County (North & West) PUMA, New York",1.168,0.7096604086,B-,1.4560282798,0.5841682309,B-,0,0.7464568008,B-,0,0.4991297525,B-,0.8112248642,-0.2307164378,C,0,0.4868878528,B-,0,0.299550837,B-,0.4421624921,B-
