Regions,Full Time_Ratio,Full Time_BABS_Ratio,Poverty_BABS_Ratio,Income_BABS_Ratio,Homeownership_BABS_Ratio,Unemployment_BABS_SCORES,Working Poor_BABS_SCORES,Rent Burden_BABS_SCORES,Full Time_BABS_GRADES,Poverty_BABS_GRADES,Income_BABS_GRADES
"St. Lawrence County PUMA, New York",1.41,0.00,0.00,0.00,1.87,0.00,0.47,1.73,0.30,0.75,0.50,1.15,0.47,-1.10,A-,B-,B,B-,B,B-,D
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.47,0.00,0.13,0.00,0.75,#DIV/0!,1.18,-2.18,0.30,0.71,0.50,-0.35,#DIV/0!,0.71,E,B-,B-,B-,C-,#DIV/0!,B-
"Warren & Washington Counties PUMA, New York",1.22,#DIV/0!,0.00,0.00,0.26,#DIV/0!,0.00,0.94,#DIV/0!,0.75,0.50,-1.01,#DIV/0!,-2.28,B,#DIV/0!,B,B-,D,#DIV/0!,E
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.68,0.00,0.72,3.64,0.61,#DIV/0!,0.78,-1.31,0.30,0.52,-0.24,-0.54,#DIV/0!,-0.30,D-,B-,B-,C,C-,#DIV/0!,C-
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.85,0.00,0.79,0.00,8.09,0.00,0.98,-0.60,0.30,0.50,0.50,9.46,0.47,0.20,C-,B-,B-,B-,A,B-,C
"Jefferson & Lewis Counties PUMA, New York",0.00,0.00,5.10,#DIV/0!,#VALUE!,#DIV/0!,1.44,-4.12,0.30,-0.87,#DIV/0!,#VALUE!,#DIV/0!,1.38,E,B-,D,#DIV/0!,#VALUE!,#DIV/0!,A-
"Oswego County PUMA, New York",0.89,0.00,0.00,#DIV/0!,0.94,0.00,0.86,-0.43,0.30,0.75,#DIV/0!,-0.09,0.47,-0.11,C-,B-,B,#DIV/0!,C,B-,C
"Onondaga County (Central)--Syracuse City PUMA, New York",0.72,0.00,1.50,0.00,1.04,4.36,0.21,-1.16,0.30,0.27,0.50,0.04,-0.65,-1.75,D,B-,B-,B-,C,C-,D-
"Onondaga County (North) PUMA, New York",1.25,0.00,0.00,0.00,1.08,#DIV/0!,1.20,1.06,0.30,0.75,0.50,0.08,#DIV/0!,0.75,B,B-,B,B-,C,#DIV/0!,B
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.10,#DIV/0!,4.39,0.00,0.85,5.63,0.57,0.43,#DIV/0!,-0.65,0.50,-0.22,-0.97,-0.84,B-,#DIV/0!,C-,B-,C,D,D
"Cayuga & Onondaga (South) Counties PUMA, New York",#DIV/0!,#DIV/0!,0.00,#DIV/0!,#VALUE!,#DIV/0!,1.18,#DIV/0!,#DIV/0!,0.75,#DIV/0!,#VALUE!,#DIV/0!,0.71,#DIV/0!,#DIV/0!,B,#DIV/0!,#VALUE!,#DIV/0!,B-
"Wayne & Seneca Counties PUMA, New York",1.20,0.00,0.00,0.00,3.92,#DIV/0!,1.14,0.85,0.30,0.75,0.50,3.89,#DIV/0!,0.60,B,B-,B,B-,A,#DIV/0!,B-
"Monroe County (East) PUMA, New York",1.21,49.57,4.38,0.00,1.20,0.00,0.61,0.88,-4.65,-0.64,0.50,0.25,0.47,-0.72,B,E,C-,B-,C,B-,C-
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.87,#DIV/0!,3.37,4.62,0.68,5.12,1.56,-0.50,#DIV/0!,-0.32,-0.44,-0.44,-0.84,1.68,C-,#DIV/0!,C-,C-,C-,D,A-
"Monroe County (Central)--Rochester City (West) PUMA, New York",0.61,0.00,5.07,0.00,0.93,35.32,0.77,-1.60,0.30,-0.86,0.50,-0.10,-8.55,-0.33,D-,B-,D,B-,C,E,C-
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0.58,#DIV/0!,16.51,#DIV/0!,1.09,#DIV/0!,0.81,-1.71,#DIV/0!,-4.51,#DIV/0!,0.10,#DIV/0!,-0.22,D-,#DIV/0!,E,#DIV/0!,C,#DIV/0!,C
"Monroe County (North & West) PUMA, New York",1.17,0.00,0.00,0.00,1.46,0.00,0.81,0.71,0.30,0.75,0.50,0.59,0.47,-0.22,B-,B-,B,B-,B-,B-,C
"Monroe County (South) PUMA, New York",1.12,0.00,0.00,0.00,0.79,0.00,0.97,0.49,0.30,0.75,0.50,-0.30,0.47,0.18,B-,B-,B,B-,C-,B-,C
"Genesee & Orleans Counties PUMA, New York",1.40,0.00,0.00,#DIV/0!,0.70,#DIV/0!,1.07,1.65,0.30,0.75,#DIV/0!,-0.42,#DIV/0!,0.43,A-,B-,B,#DIV/0!,C-,#DIV/0!,B-
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.33,0.00,0.00,0.00,0.31,#DIV/0!,1.41,1.39,0.30,0.75,0.50,-0.94,#DIV/0!,1.30,A-,B-,B,B-,D,#DIV/0!,A-
"Niagara County (North & East) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!
"Erie County (Northwest) PUMA, New York",0.51,0.00,6.61,0.00,1.85,#DIV/0!,0.00,-2.02,0.30,-1.35,0.50,1.12,#DIV/0!,-2.28,E,B-,D-,B-,B,#DIV/0!,E
"Erie County (North Central) PUMA, New York",1.28,0.00,6.03,#DIV/0!,1.33,2.10,0.31,1.17,0.30,-1.17,#DIV/0!,0.42,-0.07,-1.48,B,B-,D,#DIV/0!,B-,C,D-
"Erie County (Northeast) PUMA, New York",0.87,0.00,6.09,0.00,1.57,#DIV/0!,1.09,-0.50,0.30,-1.19,0.50,0.75,#DIV/0!,0.49,C-,B-,D,B-,B,#DIV/0!,B-
"Erie County (Central) PUMA, New York",0.99,#DIV/0!,0.00,0.00,1.00,0.00,1.15,-0.01,#DIV/0!,0.75,0.50,-0.01,0.47,0.63,C,#DIV/0!,B,B-,C,B-,B-
"Erie County (West Central)--Buffalo City (East) PUMA, New York",0.35,0.00,11.08,0.00,0.65,#DIV/0!,0.76,-2.69,0.30,-2.78,0.50,-0.48,#DIV/0!,-0.36,E,B-,E,B-,C-,#DIV/0!,C-
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.84,0.00,3.16,#DIV/0!,0.56,0.00,0.23,-0.63,0.30,-0.25,#DIV/0!,-0.60,0.47,-1.70,C-,B-,C-,#DIV/0!,C-,B-,D-
"Erie County (South) PUMA, New York",1.28,#DIV/0!,0.00,0.00,0.42,#DIV/0!,0.31,1.18,#DIV/0!,0.75,0.50,-0.79,#DIV/0!,-1.50,B,#DIV/0!,B,B-,D,#DIV/0!,D-
"Livingston & Wyoming Counties PUMA, New York",#DIV/0!,#DIV/0!,0.00,#DIV/0!,#VALUE!,#DIV/0!,1.15,#DIV/0!,#DIV/0!,0.75,#DIV/0!,#VALUE!,#DIV/0!,0.63,#DIV/0!,#DIV/0!,B,#DIV/0!,#VALUE!,#DIV/0!,B-
"Ontario & Yates Counties PUMA, New York",1.30,0.00,0.00,0.00,1.12,0.00,0.67,1.26,0.30,0.75,0.50,0.14,0.47,-0.58,A-,B-,B,B-,C,B-,C-
"Madison & Cortland Counties PUMA, New York",1.20,0.00,0.00,0.00,0.56,0.00,0.00,0.82,0.30,0.75,0.50,-0.60,0.47,-2.28,B,B-,B,B-,C-,B-,E
"Fulton & Montgomery Counties PUMA, New York",0.79,0.00,0.00,0.00,0.09,0.00,0.75,-0.85,0.30,0.75,0.50,-1.23,0.47,-0.37,D,B-,B,B-,D,B-,C-
"Schenectady County--Schenectady City PUMA, New York",0.93,0.00,10.38,13.26,1.21,7.72,0.90,-0.28,0.30,-2.56,-2.19,0.27,-1.50,0.01,C-,B-,E,E,B-,D-,C
"Saratoga County (South & Central) PUMA, New York",1.24,5.22,0.59,1.62,1.09,0.00,0.79,1.01,-0.22,0.57,0.17,0.10,0.47,-0.28,B,C,B-,C,C,B-,C-
