Region,FT Work Access_HS_Ratio,Unemployment_HS_Ratio,Poverty_HS_Ratio,Working Poor_HS_Ratio,Income_HS_Ratio,Rent Burden_HS_Ratio,Homeownership_HS_Ratio,FT Work Access_HS_SCORES,Unemployment_HS_SCORES,Poverty_HS_SCORES,Working Poor_HS_SCORES,Income_HS_SCORES,Rent Burden_HS_SCORES,Homeownership_HS_SCORES,FT Work Access_HS_GRADES,Unemployment_HS_GRADES,Poverty_HS_GRADES,Working Poor_HS_GRADES,Income_HS_GRADES,Rent Burden_HS_GRADES,Homeownership_HS_GRADES
Total GEOG-101,1.03,1.20,1.58,2.15,0.83,0.18,0.51,,,,,,,,,,,,,,
"St. Lawrence County PUMA, New York",1.43,0.00,0.00,0.00,1.13,#DIV/0!,1.07,0.97,0.40,0.90,0.37,0.84,#DIV/0!,0.50,B,B-,B,B-,B,#DIV/0!,B-
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",#DIV/0!,#DIV/0!,0.00,#DIV/0!,#DIV/0!,#DIV/0!,0.00,#DIV/0!,#DIV/0!,0.90,#DIV/0!,#DIV/0!,#DIV/0!,-1.47,#DIV/0!,#DIV/0!,B,#DIV/0!,#DIV/0!,#DIV/0!,D-
"Warren & Washington Counties PUMA, New York",0.24,0.00,0.91,13.85,0.33,#DIV/0!,1.35,-1.65,0.40,0.39,-0.60,-1.10,#DIV/0!,1.00,D-,B-,B-,C-,D,#DIV/0!,B
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,2.27,#DIV/0!,#DIV/0!,#DIV/0!,1.31,#DIV/0!,#DIV/0!,-0.36,#DIV/0!,#DIV/0!,#DIV/0!,0.93,#DIV/0!,#DIV/0!,C-,#DIV/0!,#DIV/0!,#DIV/0!,B
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.72,4.67,2.64,1.68,0.92,0.40,0.99,-0.60,-0.96,-0.56,0.26,0.35,0.10,0.35,C-,D,C-,B-,B-,C,B-
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",1.52,0.00,0.00,0.00,3.19,#DIV/0!,1.00,1.16,0.40,0.90,0.37,5.87,#DIV/0!,0.36,B,B-,B,B-,A,#DIV/0!,B-
"Jefferson & Lewis Counties PUMA, New York",0.00,18.49,0.48,#DIV/0!,#DIV/0!,0.00,0.46,-2.19,-5.00,0.63,#DIV/0!,#DIV/0!,0.18,-0.62,E,E,B-,#DIV/0!,#DIV/0!,C,C-
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",1.50,20.03,2.02,4.39,0.46,0.27,0.69,1.14,-5.45,-0.22,0.07,-0.78,0.13,-0.20,B,E,C,C,D,C,C
"Onondaga County (North) PUMA, New York",1.33,0.00,3.04,14.22,0.57,#DIV/0!,0.76,0.75,0.40,-0.78,-0.62,-0.51,#DIV/0!,-0.08,B-,B-,D,C-,C-,#DIV/0!,C
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.36,0.00,2.86,110.10,0.36,0.00,0.49,0.81,0.40,-0.68,-7.34,-1.02,0.18,-0.57,B,B-,C-,E,D,C,C-
"Cayuga & Onondaga (South) Counties PUMA, New York",0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,1.28,-2.19,0.40,0.90,#DIV/0!,#DIV/0!,#DIV/0!,0.88,E,B-,B,#DIV/0!,#DIV/0!,#DIV/0!,B
"Wayne & Seneca Counties PUMA, New York",0.24,0.00,0.00,0.00,1.72,#DIV/0!,0.25,-1.65,0.40,0.90,0.37,2.29,#DIV/0!,-1.01,D-,B-,B,B-,A,#DIV/0!,D
"Monroe County (East) PUMA, New York",1.41,0.00,0.00,0.00,0.95,#DIV/0!,1.32,0.93,0.40,0.90,0.37,0.42,#DIV/0!,0.95,B,B-,B,B-,B-,#DIV/0!,B
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.82,0.00,0.56,1.35,0.53,0.00,0.52,-0.37,0.40,0.59,0.28,-0.61,0.18,-0.52,C-,B-,B-,B-,C-,C,C-
"Monroe County (Central)--Rochester City (West) PUMA, New York",1.11,0.00,1.04,1.51,0.57,0.00,1.14,0.26,0.40,0.32,0.27,-0.51,0.18,0.63,B-,B-,B-,B-,C-,C,B-
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",1.34,0.00,0.00,0.00,1.01,#DIV/0!,1.30,0.77,0.40,0.90,0.37,0.55,#DIV/0!,0.91,B,B-,B,B-,B-,#DIV/0!,B
"Monroe County (North & West) PUMA, New York",#DIV/0!,#DIV/0!,0.00,#DIV/0!,#DIV/0!,#DIV/0!,1.30,#DIV/0!,#DIV/0!,0.90,#DIV/0!,#DIV/0!,#DIV/0!,0.91,#DIV/0!,#DIV/0!,B,#DIV/0!,#DIV/0!,#DIV/0!,B
"Monroe County (South) PUMA, New York",1.32,0.00,0.00,0.00,0.17,#DIV/0!,1.30,0.74,0.40,0.90,0.37,-1.49,#DIV/0!,0.92,B-,B-,B,B-,D-,#DIV/0!,B
"Genesee & Orleans Counties PUMA, New York",1.11,0.00,1.76,1.83,0.53,#DIV/0!,1.26,0.27,0.40,-0.07,0.25,-0.62,#DIV/0!,0.84,B-,B-,C,C,C-,#DIV/0!,B
