Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
Capital Region,0.938,-0.416,C-,1.017,-0.327,C-,2.222,-0.073,C,2.469,-0.672,C-,0.665,-0.421,C-,0.754,0.568,B-,4.123,-1.921,E,,,
Central NY,0.926,-0.589,C-,0.958,-0.574,C-,3.334,-0.982,D,1.681,0.757,B,0.601,-0.765,D,3.019,-1.678,D-,2.455,-0.614,C-,,,
Finger Lakes,0.955,-0.160,C,1.285,0.808,B,2.038,0.077,C,1.709,0.708,B-,0.780,0.194,C,1.268,0.058,C,2.956,-1.007,D,,,
Long Island,1.054,1.291,A-,0.843,-1.060,D,1.206,0.757,B,2.355,-0.464,C-,0.918,0.936,B,0.636,0.685,B-,0.730,0.736,B-,,,
Mid-Hudson,1.019,0.778,B,0.875,-0.925,D,1.731,0.328,B-,1.712,0.701,B-,0.822,0.421,B-,1.388,-0.061,C,0.996,0.528,B-,,,
Mohawk Valley,0.820,-2.134,E,1.132,0.161,C,0.405,1.411,A-,1.089,1.832,A,0.757,0.070,C,0.000,1.316,A-,0.515,0.905,B,,,
New York City,1.005,0.576,B-,0.772,-1.359,D-,1.840,0.239,C,2.817,-1.303,D-,1.063,1.713,A-,1.808,-0.477,C-,1.297,0.292,B-,,,
North Country,0.946,-0.296,C-,1.472,1.600,A-,1.435,0.570,B-,2.739,-1.161,D,0.858,0.615,B-,0.000,1.316,A-,0.000,1.308,A-,,,
Southern Tier,1.041,1.091,B,1.343,1.052,B,2.254,-0.100,C,2.000,0.180,C,0.505,-1.278,D-,1.876,-0.544,C-,1.205,0.365,B-,,,
Western NY,0.957,-0.140,C,1.242,0.625,B-,4.858,-2.227,E,2.417,-0.578,C-,0.467,-1.482,D-,2.519,-1.182,D,2.427,-0.593,C-,,,
"St. Lawrence County PUMA, New York",1.219,1.3333951206,A-,1.8977608018,1.4210003076,A-,0,0.5776085368,B-,0,0.3994654433,B-,0.6146502511,-0.7597976862,D,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.700,-1.7440216644,D-,0.733974709,-0.4655325905,C-,2.3856188215,-0.0236599957,C,19.9179796182,-1.4559483971,D-,1.1967836575,0.8984186376,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Warren & Washington Counties PUMA, New York",1.210,1.2805941341,A-,0.3824298718,-1.0353975378,D,0,0.5776085368,B-,0,0.3994654433,B-,0.2719753386,-1.7359126583,D-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.164,1.0088774173,B,1.2684948543,0.4009409351,B-,0,0.5776085368,B-,0,0.3994654433,B-,0.0610278919,-2.3367998358,E,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.745,-1.4780670476,D-,0.6551758307,-0.5932679855,C-,0.4835494498,0.4557353081,B-,1.586726626,0.2516575532,B-,0.8981540467,0.0477674123,C,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.785,-1.2431389395,D,3.7557497136,4.4328572355,A,0.5804811508,0.4313047574,B-,0,0.3994654433,B-,0.8724772135,-0.0253734578,C,0,0.3707638295,B-,2.9863842663,-0.2717054031,C-,,,
"Jefferson & Lewis Counties PUMA, New York",0.807,-1.108390794,D,1.4973897374,0.7719865506,B,3.6026662074,-0.3304031724,C-,0,0.3994654433,B-,0.8785082118,-0.0081940626,C,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Oswego County PUMA, New York",0.887,-0.6366662742,C-,0.8465517953,-0.2830416858,C-,0,0.5776085368,B-,0,0.3994654433,B-,0.8485120051,-0.0936387374,C,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Onondaga County (Central)--Syracuse City PUMA, New York",0.891,-0.6107079493,C-,1.0617190951,0.0657510967,C,2.0370051545,0.0642041786,C,0,0.3994654433,B-,0.3337320387,-1.5599977097,D-,1.9777861597,0.060462859,C,3.5241666212,-0.4096113574,C-,,,
"Onondaga County (North) PUMA, New York",1.129,0.8011082931,B,0.9452757099,-0.1230071968,C,0,0.5776085368,B-,0,0.3994654433,B-,1.1419153927,0.7421255073,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",0.793,-1.1919140117,D,0.5725556197,-0.7271978778,C-,7.8233777656,-1.3941862972,D-,16.1396122429,-1.1039832251,D,0.644279652,-0.6753978637,C-,5.6221910112,-0.5113190582,C-,5.2817834157,-0.8603249578,D,,,
"Cayuga & Onondaga (South) Counties PUMA, New York",1.172,1.0544997412,B,1.3361573824,0.5106239653,B-,0,0.5776085368,B-,0,0.3994654433,B-,1.1626967544,0.8013215487,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Wayne & Seneca Counties PUMA, New York",1.017,0.1376129829,C,0.7191432816,-0.4895747885,C-,3.9552408487,-0.4192656659,C-,9.7178582294,-0.505779416,C-,0.4183047315,-1.3190910408,D-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Monroe County (East) PUMA, New York",1.160,0.9836310952,B,1.2431522894,0.3598598613,B-,2.4302324987,-0.0349043739,C,0,0.3994654433,B-,0.5416910075,-0.9676232593,D,0,0.3707638295,B-,13.6621315582,-3.0093354222,E,,,
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.894,-0.5931014902,C-,0.8125333369,-0.3381866488,C-,1.3681152923,0.2327903845,C,1.1220418636,0.2949441995,B-,1.5011910615,1.7655279993,A,3.2206028045,-0.1345264775,C,24.3475613292,-5.7494483632,E,,,
"Monroe County (Central)--Rochester City (West) PUMA, New York",0.705,-1.7158349504,D-,1.0271042747,0.0096394128,C,1.0015646719,0.3251753672,B-,0,0.3994654433,B-,1.2171186623,0.9563432243,B,62.6578947368,-9.4598265244,E,0,0.4941065811,B-,,,
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0.557,-2.5955930749,E,0.8530364115,-0.2725299244,C-,3.3083239177,-0.2562174915,C-,0,0.3994654433,B-,1.0082284627,0.3613161479,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Monroe County (North & West) PUMA, New York",1.157,0.9645036416,B,1.404885364,0.6220341283,B-,0,0.5776085368,B-,0,0.3994654433,B-,0.8097069302,-0.2041756142,C,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Monroe County (South) PUMA, New York",1.000,0.0317349833,C,0.9987034657,-0.0363991683,C,2.0371838657,0.0641591364,C,0,0.3994654433,B-,0.7077852298,-0.4945012089,C-,1.7799704513,0.0914987756,C,6.2197599261,-1.1008545041,D,,,
"Genesee & Orleans Counties PUMA, New York",1.216,1.3131694164,A-,0.4832553397,-0.8719563666,D,11.7514701629,-2.3842180365,E,23.5506282336,-1.7943394712,E,1.0788746546,0.562552956,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.159,0.9779683513,B,0.2314272801,-1.2801773635,D-,1.2512788522,0.262237702,B-,0,0.3994654433,B-,1.1076008575,0.6443800048,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Niagara County (North & East) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Erie County (Northwest) PUMA, New York",0.884,-0.6518880232,C-,0.8276055231,-0.3137541734,C-,2.8533407421,-0.1415440727,C,0,0.3994654433,B-,0.3453291112,-1.5269632632,D-,15.5518789593,-2.0692184253,E,22.0112274937,-5.1503317423,E,,,
"Erie County (North Central) PUMA, New York",1.096,0.6067093203,B-,1.2485295514,0.3685765676,B-,6.9773166451,-1.1809460579,D,5.3323977546,-0.0972618747,C,0.3682347335,-1.4617162313,D-,1.0539351475,0.2054086937,C,1.1888408929,0.18924675,C,,,
"Erie County (Northeast) PUMA, New York",1.033,0.227079215,C,1.8522360156,1.3472032349,A-,3.649219721,-0.3421364646,C-,0,0.3994654433,B-,1.0778584036,0.5596581488,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Erie County (Central) PUMA, New York",0.934,-0.3552442214,C-,0.8397106907,-0.2941313259,C-,5.1882161595,-0.7300232979,C-,17.1757883291,-1.2005058387,D,0.9124037905,0.0883580357,C,7.8755622189,-0.8648574167,D,11.0244400737,-2.3329403005,E,,,
"Erie County (West Central)--Buffalo City (East) PUMA, New York",0.500,-2.9326715988,E,0.8822836669,-0.2251192276,C,8.4577665844,-1.5540769011,D-,0,0.3994654433,B-,0.3544998782,-1.5008401864,D-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.797,-1.1726435517,D,0.5939790565,-0.6924698307,C-,3.5238084421,-0.3105279549,C-,7.2988871882,-0.2804457007,C-,0.1884099158,-1.9739501022,E,2.1553934959,0.0325974963,C,4.3326779206,-0.6169415558,C-,,,
"Erie County (South) PUMA, New York",0.919,-0.44532193,C-,0.4900937459,-0.8608711007,D,0,0.5776085368,B-,0,0.3994654433,B-,0.3839231129,-1.4170276316,D-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Livingston & Wyoming Counties PUMA, New York",1.152,0.9386084428,B,1.2650411891,0.395342438,B-,0,0.5776085368,B-,0,0.3994654433,B-,1.1201438849,0.6801090189,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Ontario & Yates Counties PUMA, New York",1.203,1.2397124798,B,4.3677072019,5.4248590657,A,0,0.5776085368,B-,0,0.3994654433,B-,0.9945646818,0.3223946492,B-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Madison & Cortland Counties PUMA, New York",1.089,0.561177577,B-,3.0303427472,3.2569503271,A,0,0.5776085368,B-,0,0.3994654433,B-,0.4895896131,-1.1160349148,D,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Fulton & Montgomery Counties PUMA, New York",0.969,-0.1507077997,C,0.7297235063,-0.4724239202,C-,0,0.5776085368,B-,0,0.3994654433,B-,0.6824216315,-0.5667498247,C-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Schenectady County--Schenectady City PUMA, New York",0.972,-0.1333318084,C,0.9876327843,-0.054345082,C,2.4128839477,-0.0305318657,C,2.8321733629,0.1356408107,C,0.8223702154,-0.1681040437,C,1.7185278706,0.1011386916,C,0,0.4941065811,B-,,,
"Saratoga County (South & Central) PUMA, New York",0.953,-0.244473384,C,1.0394454346,0.0296448109,C,0.5403065117,0.4414303257,B-,1.8316120537,0.2288458112,C,0.8757405582,-0.0160777682,C,0,0.3707638295,B-,4.6098238032,-0.6880113242,C-,,,
"Saratoga County (Outer) PUMA, New York",0.809,-1.0989264697,D,0.6094887762,-0.6673281,C-,5.862077758,-0.8998625743,D,17.968866598,-1.2743832312,D-,0.7087100931,-0.4918667211,C-,0,0.3707638295,B-,19.9894041386,-4.6318664622,E,,,
"Rensselaer County--Troy City PUMA, New York",0.747,-1.4656848371,D-,0.6592718711,-0.5866281786,C-,5.2043481631,-0.7340891889,C-,25.2442687747,-1.9521066826,E,0.2987461845,-1.6596554753,D-,1.8385973878,0.0823006147,C,4.9144336886,-0.7661238107,D,,,
"Albany County (East Central)--Albany City PUMA, New York",0.493,-2.9740132315,E,0.7534353651,-0.433986271,C-,5.3082442222,-0.7602750281,D,0,0.3994654433,B-,0.8548691594,-0.0755302816,C,2.7024137194,-0.0532261937,C,0,0.4941065811,B-,,,
"Albany County (Outside Albany City) PUMA, New York",1.023,0.1718139251,C,0.9568036703,-0.10432002,C,0.3760068466,0.482840218,B-,0,0.3994654433,B-,0.5847983799,-0.844831219,D,0,0.3707638295,B-,6.5996465166,-1.1982705355,D,,,
"Columbia & Greene Counties PUMA, New York",0.949,-0.2695796574,C-,2.9084412921,3.0593443351,A,0,0.5776085368,B-,0,0.3994654433,B-,1.2033152033,0.9170238504,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",1.034,0.2375833808,C,1.2646270153,0.3946710496,B-,2.2691116179,0.0057043414,C,4.3071564622,-0.0017578668,C,0.4509897328,-1.2259872915,D,2.9887269865,-0.0981467652,C,6.3135578351,-1.1249075248,D,,,
"Broome (Outer West) & Tioga Counties PUMA, New York",1.145,0.8932586184,B,1.0558869314,0.0562969808,C,0,0.5776085368,B-,0,0.3994654433,B-,1.1308582308,0.7106290047,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Chenango, Delaware & Broome (East) Counties PUMA; New York",1.171,1.049351366,B,1.1571235958,0.2204047142,C,0.18860187,0.5300735456,B-,0,0.3994654433,B-,0.1272084586,-2.1482834326,E,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Tompkins County PUMA, New York",1.178,1.0885344764,B,1.004911616,-0.0263355666,C,2.6296780203,-0.0851723861,C,1.4886532179,0.2607933572,B-,0.4602231083,-1.1996858737,D,1.6000389175,0.1197287889,C,0,0.4941065811,B-,,,
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",1.014,0.1189019279,C,2.430799622,2.2850725597,A,0.3170028351,0.497711519,B-,0.6320036593,0.3405925878,B-,0.946667481,0.1859587062,C,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",0.000,-5.8981730942,E,#VALUE!,#VALUE!,#VALUE!,0,0.5776085368,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.0905336376,0.5957637558,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Cattaraugus & Allegany Counties PUMA, New York",1.191,1.1658443983,B,4.7736226544,6.0828604455,A,0,0.5776085368,B-,0,0.3994654433,B-,1.2142790218,0.9482544629,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Chautauqua County PUMA, New York",1.146,0.900531557,B,0.2811737715,-1.1995367774,D,3.1517552804,-0.2167561183,C,7.6363294118,-0.3118793593,C-,1.1984225452,0.9030870355,B,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4941065811,B-,,,
"Sullivan & Ulster (West) Counties PUMA, New York",0.955,-0.2325902891,C,0.9610637601,-0.0974142838,C,1.1897731558,0.2777395246,B-,1.7085342715,0.2403108406,C,1.0770215817,0.5572744483,B-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Ulster County (East) PUMA, New York",0.608,-2.288726021,E,1.1676086325,0.2374012799,C,3.1156942075,-0.2076673283,C,11.4208484436,-0.6644175748,C-,0.7671369366,-0.3254369224,C-,3.6271597841,-0.1983124559,C,1.0783002008,0.2175931981,C,,,
"Dutchess County (North & East) PUMA, New York",0.812,-1.0827935594,D,0.8041844731,-0.3517204127,C-,2.1742081806,0.029623691,C,0,0.3994654433,B-,1.0448848052,0.465732326,B-,0,0.3707638295,B-,0,0.4941065811,B-,,,
"Dutchess County (Southwest) PUMA, New York",0.991,-0.0219135158,C,1.3005466344,0.4528978522,B-,1.5255240268,0.1931172741,C,0,0.3994654433,B-,0.968142646,0.2471310575,C,0,0.3707638295,B-,1.4494435276,0.1224192412,C,,,
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",1.002,0.0490711278,C,0.7360913733,-0.4621014127,C-,0,0.5776085368,B-,0,0.3994654433,B-,1.0532116502,0.4894514773,B-,0,0.3707638295,B-,0,0.4941065811,B-,,,
