Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_Overall
Capital Region,0.786,-0.377,C-,1.031,0.457,B-,4.423,-0.937,D,4.541,-2.162,E,1.495,0.037,C,0.786,-0.156,C,7.313,-2.575,E,-0.816,D
Central NY,1.094,0.741,B-,0.968,0.272,B-,2.861,-0.164,C,0.000,0.798,B,1.973,1.000,B,0.394,-0.395,C-,0.000,0.631,B-,0.412,B-
Finger Lakes,1.056,0.600,B-,1.139,0.783,B,1.496,0.511,B-,0.521,0.458,B-,1.275,-0.405,C-,0.629,-0.252,C-,2.035,-0.261,C-,0.205,C
Long Island,1.141,0.912,B,0.840,-0.112,C,0.747,0.882,B,1.528,-0.198,C,1.156,-0.643,C-,5.068,2.456,A,1.050,0.171,C,0.495,B-
Mid-Hudson,1.030,0.508,B-,0.874,-0.012,C,2.583,-0.026,C,2.156,-0.608,C-,1.171,-0.613,C-,0.471,-0.348,C-,2.648,-0.530,C-,-0.233,C
Mohawk Valley,0.351,-1.958,E,0.226,-1.949,E,0.000,1.251,A-,0.000,0.798,B,1.655,0.360,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.000,0.631,B-,#DIV/0!,#DIV/0!
New York City,1.005,0.418,B-,0.735,-0.425,C-,1.956,0.284,B-,2.793,-1.023,D,0.952,-1.053,D,0.583,-0.279,C-,1.345,0.041,C,-0.291,C-
North Country,0.476,-1.504,D-,0.763,-0.343,C-,1.993,0.266,B-,0.000,0.798,B,0.821,-1.318,D-,#DIV/0!,#DIV/0!,#DIV/0!,0.000,0.631,B-,#DIV/0!,#DIV/0!
Southern Tier,1.100,0.760,B,0.683,-0.584,C-,2.062,0.231,C,0.700,0.341,B-,1.859,0.770,B,0.244,-0.486,C-,0.000,0.631,B-,0.238,C
Western NY,0.863,-0.100,C,1.517,1.912,A,7.177,-2.299,E,0.000,0.798,B,2.403,1.865,A,0.156,-0.540,C-,0.000,0.631,B-,0.324,B-
"St. Lawrence County PUMA, New York",1.423,1.3864684243,A-,0.6804390275,-0.5352781432,C-,0,0.3561256378,B-,0,0.3451786222,B-,1.1759656652,0.6092236468,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.434,-1.935355307,E,0.7892297843,-0.3287783709,C-,0,0.3561256378,B-,0,0.3451786222,B-,1.1753755414,0.6079889663,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Warren & Washington Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.000,-3.394701945,E,#DIV/0!,#DIV/0!,#DIV/0!,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.5191491751,-0.7649939091,D,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.425,-1.9673180302,E,0.8581263143,-0.198003311,C,0,0.3561256378,B-,0,0.3451786222,B-,0.7006219285,-0.3853094044,C-,0,0.5949986441,B-,0,0.2957885899,B-,-0.1369341788,C
"Jefferson & Lewis Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.9115549215,-0.6371763191,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",0.846,-0.5530451045,C-,0.9385256975,-0.0453942585,C,2.7531896081,0.0802104412,C,0,0.3451786222,B-,0.2068086214,-1.4184852247,D-,6.5755123255,-1.4593681712,D-,0,0.2957885899,B-,-0.3935878722,C-
"Onondaga County (North) PUMA, New York",1.262,0.8456088152,B,0.9496847969,-0.0242127578,C,0,0.3561256378,B-,0,0.3451786222,B-,1.1986232371,0.6566287188,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.311,1.01229385,B,0.9817536288,0.036658282,C,5.3148287139,-0.1765082227,C,0,0.3451786222,B-,0.3600143862,-1.0979420367,D,4.362720403,-0.7680324897,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Cayuga & Onondaga (South) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.3561256378,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.1330550483,0.5194443491,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Wayne & Seneca Counties PUMA, New York",1.206,0.6581586687,B-,4.0878600878,5.9324742056,A,0,0.3561256378,B-,0,0.3451786222,B-,1.1420036126,0.538166891,B-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.2957885899,B-,#DIV/0!,#DIV/0!
