Regions,Disparity Ratio_Full Time_HS_NBWNH-FBRace,Score_Full Time_HS_NBWNH-FBRace,Grades_Full Time_HS_NBWNH-FBRace,Disparity Ratio-Unemployment_HS_NBWNH-FBRace,Score_Unemployment_HS_NBWNH-FBRace,Grades_Unemployment_HS_NBWNH-FBRace,Disparity Ratio_Poverty_HS_NBWNH-FBRace,Score_Poverty_HS_NBWNH-FBRace,Grades_Poverty_HS_NBWNH-FBRace,Disparity Ratio_Working Poor_HS_NBWNH-FBRace,Score_Working Poor_HS_NBWNH-FBRace,Grades_Working Poor_HS_NBWNH-FBRace,Disparity Ratio-Income_HS_NBWNH-FBRace,Score_Income_HS_NBWNH-FBRace,Grades_Income_HS_NBWNH-FBRace,Disparity Ratio-Rent Burden_HS_NBWNH-FBRace,Score_Rent Burden_HS_NBWNH-FBRace,Grades_Rent Burden_HS_NBWNH-FBRace,Disparity Ratio_Homeownership_HS_NBWNH-FBRace,Score_Homeownership_HS_NBWNH-FBRace,Grades_Homeownership_HS_NBWNH-FBRace
Total GEOG-101,1.0061198653,,,1.0670183724,,,1.6766198798,,,2.6578989194,,,0.735662945,,,0.195014934,,,0.4991633113,,
"St. Lawrence County PUMA, New York",1.049168412,0.2661487059,B-,0,0.4937454477,B-,0.6028717817,0.6370082767,B-,0,0.6689833534,B-,0.9364769206,0.644081006,B-,0,0.4587891429,B-,0.8812573337,0.3174927034,B-
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",1.1554457484,0.6258614996,B-,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,0.4935123687,-0.7027173428,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,-1.8016257111,E
"Warren & Washington Counties PUMA, New York",0.2087469377,-2.5783933822,E,0,0.4937454477,B-,0.8928613376,0.4792064168,B-,12.1224018476,-1.072399634,D,0.2837724712,-1.3404147529,D-,#DIV/0!,#DIV/0!,#DIV/0!,1.3390551374,1.4183377332,A-
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.204399238,0.7915524843,B,0,0.4937454477,B-,3.0233432572,-0.6801250238,C-,9.2037710883,-0.6531383345,C-,0.3457998079,-1.1518255886,D,0,0.4587891429,B-,1.0990891387,0.8413026865,B
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.709527682,-0.8834201482,D,6.7837835959,-2.5151996349,E,2.5824706618,-0.4402180542,C-,2.9641853933,0.243178131,C,0.6075637315,-0.3559532811,C-,0.2368437724,0.2285130675,C,0.7716726515,0.0539795284,C
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",1.229162684,0.8753683629,B,0,0.4937454477,B-,0,0.9650693622,B,0,0.6689833534,B-,1.9985458219,3.8732166929,A,#DIV/0!,#DIV/0!,#DIV/0!,0.9961174897,0.593691564,B-
"Jefferson & Lewis Counties PUMA, New York",0,-3.2849310756,E,11.8716951965,-4.7719412267,E,0.4752885067,0.7064344946,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.4587891429,B-,0.4651471094,-0.6831081484,C-
"Oswego County PUMA, New York",1.2200811759,0.8446305333,B,2.6676683524,-0.6894980119,C-,1.3408704352,0.23541602,C,3.2183381089,0.2066690942,C,0.7656498548,0.1246949533,C,#DIV/0!,#DIV/0!,#DIV/0!,0.9566779449,0.49885313,B-
"Onondaga County (Central)--Syracuse City PUMA, New York",1.3069102878,1.138517673,B,4.334329074,-1.4287448513,D-,1.5787254407,0.1059839025,C,2.9521468481,0.244907468,C,0.551399899,-0.526714929,C-,0.5039885437,-0.0312237579,C,0.588726606,-0.385942296,C-
