Regions,Disparity Ratio_Full Time_HS_FBALLM-F,Score_Full Time_HS_FBALLM-F,Grades_Full Time_HS_FBALLM-F,Disparity Ratio-Unemployment_HS_FBALLM-F,Score_Unemployment_HS_FBALLM-F,Grades_Unemployment_HS_FBALLM-F,Disparity Ratio_Poverty_HS_FBALLM-F,Score_Poverty_HS_FBALLM-F,Grades_Poverty_HS_FBALLM-F,Disparity Ratio_Working Poor_HS_FBALLM-F,Score_Working Poor_HS_FBALLM-F,Grades_Working Poor_HS_FBALLM-F,Disparity Ratio-Income_HS_FBALLM-F,Score_Income_HS_FBALLM-F,Grades_Income_HS_FBALLM-F,Disparity Ratio-Rent Burden_HS_FBALLM-F,Score_Rent Burden_HS_FBALLM-F,Grades_Rent Burden_HS_FBALLM-F,Disparity Ratio_Homeownership_HS_FBALLM-F,Score_Homeownership_HS_FBALLM-F,Grades_Homeownership_HS_FBALLM-F,Disparity Ratio_Naturalization_HS_FBALLM-F,Score_Naturalization_HS_FBALLM-F,Grades_Naturalization_HS_FBALLM-F
Total GEOG-101,0.90,,,1.13,,,0.95,,,0.64,,,0.77,,,1.00,,,1.03,,,1.06,,
"St. Lawrence County PUMA, New York",1.00,0.44,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.36,-0.69,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.40,-1.12,D,1.03,-0.17,C
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.37,-2.27,E,#DIV/0!,#DIV/0!,#DIV/0!,0.02,-0.60,C-,0.00,-0.64,C-,0.79,-0.19,C,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.24,-0.85,D
"Warren & Washington Counties PUMA, New York",1.00,0.44,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.30,-0.75,D,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-1.77,E,0.00,-1.06,D
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.77,-0.55,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.57,-0.45,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.77,-0.51,C-,1.08,-0.13,C
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",1.06,0.68,B-,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6.14,5.89,A,#DIV/0!,#DIV/0!,#DIV/0!,1.28,0.33,B-,2.57,1.16,B
"Jefferson & Lewis Counties PUMA, New York",0.00,-3.86,E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,2.10,1.66,A-,2.10,0.75,B-
"Oswego County PUMA, New York",0.74,-0.68,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.05,0.10,C,#DIV/0!,#DIV/0!,#DIV/0!,0.74,-0.56,C-,0.60,-0.54,C-
"Onondaga County (Central)--Syracuse City PUMA, New York",0.71,-0.82,D,0.00,-0.61,C-,0.62,-0.37,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.89,-0.09,C,0.90,-0.29,C-,0.51,-0.94,D,0.77,-0.40,C-
