Regions,Disparity Ratio_Full Time_BABS_NBWNH-FBRace,Score_Full Time_BABS_NBWNH-FBRace,Grades_Full Time_BABS_NBWNH-FBRace,Disparity Ratio-Unemployment_BABS_NBWNH-FBRace,Score_Unemployment_BABS_NBWNH-FBRace,Grades_Unemployment_BABS_NBWNH-FBRace,Disparity Ratio_Poverty_BABS_NBWNH-FBRace,Score_Poverty_BABS_NBWNH-FBRace,Grades_Poverty_BABS_NBWNH-FBRace,Disparity Ratio_Working Poor_BABS_NBWNH-FBRace,Score_Working Poor_BABS_NBWNH-FBRace,Grades_Working Poor_BABS_NBWNH-FBRace,Disparity Ratio-Income_BABS_NBWNH-FBRace,Score_Income_BABS_NBWNH-FBRace,Grades_Income_BABS_NBWNH-FBRace,Disparity Ratio-Rent Burden_BABS_NBWNH-FBRace,Score_Rent Burden_BABS_NBWNH-FBRace,Grades_Rent Burden_BABS_NBWNH-FBRace,Disparity Ratio_Homeownership_BABS_NBWNH-FBRace,Score_Homeownership_BABS_NBWNH-FBRace,Grades_Homeownership_BABS_NBWNH-FBRace
Total GEOG-101,1.02,,,1.40,,,2.44,,,3.44,,,0.74,,,0.34,,,0.70,,
"St. Lawrence County PUMA, New York",1.22,1.07,B,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.48,B-,0.00,0.34,B-,0.53,-0.66,C-,0.00,0.50,B-,1.24,1.06,B
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.66,-1.61,D-,0.00,0.41,B-,2.47,0.06,C,24.25,-1.17,D,0.70,-0.32,C-,0.00,0.50,B-,1.19,0.93,B
"Warren & Washington Counties PUMA, New York",1.22,1.02,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.41,-0.88,D,#DIV/0!,#DIV/0!,#DIV/0!,1.14,0.80,B
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.14,0.68,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.32,0.87,B,#DIV/0!,#DIV/0!,#DIV/0!,1.15,0.81,B
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.45,-2.61,E,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.98,0.21,C,5.76,-2.34,E,0.86,0.04,C
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.52,-2.29,E,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.66,-0.41,C-,0.00,0.50,B-,0.53,-0.82,D
"Jefferson & Lewis Counties PUMA, New York",1.14,0.68,B-,0.00,0.41,B-,4.67,-0.31,C-,0.00,0.34,B-,1.46,1.14,B,0.00,0.50,B-,0.63,-0.56,C-
"Oswego County PUMA, New York",1.17,0.82,B,0.00,0.41,B-,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.81,-0.12,C,0.00,0.50,B-,1.11,0.72,B-
"Onondaga County (Central)--Syracuse City PUMA, New York",0.86,-0.66,C-,4.04,-0.63,C-,3.73,-0.15,C,0.00,0.34,B-,0.89,0.04,C,0.98,0.02,C,0.15,-1.84,E
"Onondaga County (North) PUMA, New York",1.14,0.66,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.84,-0.06,C,0.00,0.50,B-,1.15,0.81,B
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",0.78,-1.05,D,0.00,0.41,B-,9.40,-1.10,D,12.99,-0.47,C-,0.65,-0.43,C-,0.00,0.50,B-,0.40,-1.16,D
"Cayuga & Onondaga (South) Counties PUMA, New York",1.15,0.73,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.32,0.88,B,#DIV/0!,#DIV/0!,#DIV/0!,1.13,0.77,B
"Wayne & Seneca Counties PUMA, New York",0.99,-0.03,C,0.00,0.41,B-,4.97,-0.36,C-,9.47,-0.25,C,0.73,-0.28,C-,3.69,-1.32,D-,0.41,-1.14,D
"Monroe County (East) PUMA, New York",1.17,0.78,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.20,0.63,B-,0.34,0.33,B-,0.10,-1.99,E
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.90,-0.47,C-,19.34,-4.56,E,1.26,0.27,B-,0.95,0.28,B-,0.76,-0.20,C,0.00,0.50,B-,1.51,1.79,A
"Monroe County (Central)--Rochester City (West) PUMA, New York",0.70,-1.43,D-,0.00,0.41,B-,1.09,0.30,B-,0.00,0.34,B-,0.90,0.05,C,3.34,-1.15,D,1.16,0.85,B
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0.67,-1.58,D-,#DIV/0!,#DIV/0!,#DIV/0!,2.10,0.13,C,0.00,0.34,B-,0.83,-0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,0.88,0.10,C
"Monroe County (North & West) PUMA, New York",1.17,0.80,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.72,1.65,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.17,0.87,B
"Monroe County (South) PUMA, New York",0.99,-0.03,C,0.00,0.41,B-,2.37,0.08,C,0.00,0.34,B-,1.02,0.28,B-,0.04,0.48,B-,0.64,-0.54,C-
"Genesee & Orleans Counties PUMA, New York",1.22,1.05,B,0.00,0.41,B-,33.77,-5.21,E,67.33,-3.84,E,0.18,-1.34,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.17,0.79,B,0.00,0.41,B-,6.58,-0.63,C-,0.00,0.34,B-,0.23,-1.23,D,0.00,0.50,B-,0.55,-0.78,D
"Niagara County (North & East) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Erie County (Northwest) PUMA, New York",0.73,-1.28,D-,0.00,0.41,B-,3.84,-0.17,C,0.00,0.34,B-,1.35,0.93,B,0.00,0.50,B-,0.00,-2.24,E
"Erie County (North Central) PUMA, New York",1.06,0.30,B-,0.00,0.41,B-,8.18,-0.90,D,0.00,0.34,B-,1.51,1.24,B,0.00,0.50,B-,0.36,-1.29,D-
"Erie County (Northeast) PUMA, New York",1.15,0.73,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.87,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,1.07,0.62,B-
"Erie County (Central) PUMA, New York",0.95,-0.23,C,19.45,-4.59,E,7.70,-0.82,D,27.52,-1.37,D-,0.78,-0.18,C,2.71,-0.84,D,0.69,-0.42,C-
"Erie County (West Central)--Buffalo City (East) PUMA, New York",0.39,-2.88,E,0.00,0.41,B-,6.47,-0.61,C-,0.00,0.34,B-,0.49,-0.74,C-,0.00,0.50,B-,0.35,-1.31,D-
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.66,-1.62,D-,0.00,0.41,B-,3.45,-0.10,C,3.81,0.10,C,0.70,-0.32,C-,0.86,0.07,C,0.16,-1.81,E
"Erie County (South) PUMA, New York",1.22,1.03,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.34,-1.02,D,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-2.24,E
"Livingston & Wyoming Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.11,0.73,B-
"Ontario & Yates Counties PUMA, New York",1.21,0.98,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.69,-0.35,C-,0.00,0.50,B-,0.66,-0.47,C-
"Madison & Cortland Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.50,B-,#DIV/0!,#DIV/0!,#DIV/0!
"Fulton & Montgomery Counties PUMA, New York",0.96,-0.17,C,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.65,-0.51,C-
"Schenectady County--Schenectady City PUMA, New York",0.87,-0.60,C-,0.00,0.41,B-,4.08,-0.21,C,0.00,0.34,B-,1.05,0.35,B-,2.91,-0.94,D,0.75,-0.24,C
"Saratoga County (South & Central) PUMA, New York",0.84,-0.77,D,7.25,-1.45,D-,0.00,0.48,B-,0.00,0.34,B-,1.26,0.76,B,0.00,0.50,B-,0.92,0.20,C
"Saratoga County (Outer) PUMA, New York",0.62,-1.79,E,28.58,-6.93,E,8.07,-0.88,D,34.23,-1.78,E,0.18,-1.32,D-,0.00,0.50,B-,0.52,-0.85,D
"Rensselaer County--Troy City PUMA, New York",0.74,-1.24,D,6.28,-1.20,D,4.54,-0.28,C-,21.51,-0.99,D,0.56,-0.59,C-,0.00,0.50,B-,0.00,-2.24,E
"Albany County (East Central)--Albany City PUMA, New York",0.56,-2.09,E,0.00,0.41,B-,8.03,-0.87,D,0.00,0.34,B-,0.72,-0.29,C-,0.66,0.17,C,0.92,0.21,C
"Albany County (Outside Albany City) PUMA, New York",1.04,0.17,C,6.31,-1.21,D,0.50,0.40,B-,0.00,0.34,B-,0.91,0.07,C,0.00,0.50,B-,0.46,-1.01,D
"Columbia & Greene Counties PUMA, New York",0.91,-0.44,C-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.79,1.77,A,0.00,0.50,B-,1.20,0.95,B
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",1.13,0.62,B-,0.00,0.41,B-,3.15,-0.05,C,6.77,-0.08,C,1.46,1.14,B,0.00,0.50,B-,0.40,-1.18,D
"Broome (Outer West) & Tioga Counties PUMA, New York",1.13,0.64,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.65,-0.43,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.13,0.78,B
"Chenango, Delaware & Broome (East) Counties PUMA; New York",1.17,0.81,B,0.00,0.41,B-,0.20,0.45,B-,0.00,0.34,B-,1.16,0.57,B-,0.00,0.50,B-,0.03,-2.17,E
