,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership
,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS,HS
,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,,,,,,,,,,,,,,,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,FT Work Access_HS_Ratio,Unemployment_HS_Ratio,Poverty_HS_Ratio,Working Poor_HS_Ratio,Income_HS_Ratio,Rent Burden_HS_Ratio,Homeownership_HS_Ratio,FT Work Access_HS_SCORES,Unemployment_HS_SCORES,Poverty_HS_SCORES,Working Poor_HS_SCORES,Income_HS_SCORES,Rent Burden_HS_SCORES,Homeownership_HS_SCORES,FT Work Access_HS_GRADES,Unemployment_HS_GRADES,Poverty_HS_GRADES,Working Poor_HS_GRADES,Income_HS_GRADES,Rent Burden_HS_GRADES,Homeownership_HS_GRADES
Total GEOG-101,0.98,0.98,1.17,1.44,0.89,0.99,0.68,,,,,,,,,,,,,,
"St. Lawrence County PUMA, New York",1.42,0.00,0.12,0.16,1.10,0.00,1.08,1.40,0.49,1.01,0.45,0.68,0.42,0.29,A-,B-,B,B-,B-,B-,B-
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",1.02,0.00,1.16,0.00,0.85,0.00,0.85,0.19,0.49,0.07,0.48,0.02,0.42,-0.18,C,B-,C,B-,C,B-,C
"Warren & Washington Counties PUMA, New York",0.69,0.00,1.67,2.00,0.56,0.00,1.22,-0.81,0.49,-0.40,0.10,-0.72,0.42,0.57,D,B-,C-,C,C-,B-,B-
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.29,0.00,1.08,0.00,0.64,#DIV/0!,1.32,1.02,0.49,0.14,0.48,-0.53,#DIV/0!,0.77,B,B-,C,B-,C-,#DIV/0!,B
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.87,2.87,1.78,1.00,0.89,2.26,1.27,-0.26,-0.67,-0.50,0.29,0.13,-0.30,0.66,C-,C-,C-,B-,C,C-,B-
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.31,13.08,0.00,0.00,3.18,0.00,1.11,-1.97,-4.82,1.12,0.48,6.08,0.42,0.34,E,E,B,B-,A,B-,B-
"Jefferson & Lewis Counties PUMA, New York",1.16,10.80,0.57,5.08,0.63,4.00,0.47,0.61,-3.89,0.60,-0.49,-0.54,-0.86,-0.95,B-,E,B-,C-,C-,D,D
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,0.00,#DIV/0!,#VALUE!,#DIV/0!,1.30,#DIV/0!,#DIV/0!,1.12,#DIV/0!,#VALUE!,#DIV/0!,0.71,#DIV/0!,#DIV/0!,B,#DIV/0!,#VALUE!,#DIV/0!,B-
"Onondaga County (Central)--Syracuse City PUMA, New York",1.39,2.66,1.48,2.53,0.55,0.64,0.71,1.31,-0.59,-0.22,0.00,-0.75,0.22,-0.46,A-,C-,C,C,D,C,C-
"Onondaga County (North) PUMA, New York",0.46,0.00,1.08,14.82,0.58,0.00,1.08,-1.51,0.49,0.14,-2.35,-0.69,0.42,0.27,D-,B-,C,E,C-,B-,B-
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.33,0.00,2.22,40.11,0.74,0.00,0.63,1.14,0.49,-0.90,-7.16,-0.28,0.42,-0.62,B,B-,D,E,C-,B-,C-
"Cayuga & Onondaga (South) Counties PUMA, New York",0.00,0.00,0.00,#DIV/0!,#VALUE!,#DIV/0!,1.30,-2.92,0.49,1.12,#DIV/0!,#VALUE!,#DIV/0!,0.73,E,B-,B,#DIV/0!,#VALUE!,#DIV/0!,B-
"Wayne & Seneca Counties PUMA, New York",0.24,0.00,0.00,0.00,1.73,0.00,0.25,-2.18,0.49,1.12,0.48,2.30,0.42,-1.39,E,B-,B,B-,A,B-,D-
"Monroe County (East) PUMA, New York",1.20,1.92,0.00,0.00,1.01,0.00,1.19,0.74,-0.29,1.12,0.48,0.45,0.42,0.51,B-,C-,B,B-,B-,B-,B-
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.68,0.00,0.38,1.05,0.63,0.55,0.51,-0.83,0.49,0.77,0.28,-0.54,0.24,-0.87,D,B-,B,B-,C-,C,D
"Monroe County (Central)--Rochester City (West) PUMA, New York",1.18,0.00,1.05,2.10,0.60,0.45,1.27,0.68,0.49,0.16,0.08,-0.63,0.28,0.67,B-,B-,C,C,C-,B-,B-
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",1.40,0.00,0.00,0.00,0.93,#DIV/0!,1.42,1.36,0.49,1.12,0.48,0.24,#DIV/0!,0.96,A-,B-,B,B-,C,#DIV/0!,B
"Monroe County (North & West) PUMA, New York",1.47,0.00,0.00,0.00,1.58,#DIV/0!,1.41,1.54,0.49,1.12,0.48,1.93,#DIV/0!,0.94,A-,B-,B,B-,A,#DIV/0!,B
"Monroe County (South) PUMA, New York",1.30,0.00,0.00,0.00,0.26,#DIV/0!,1.33,1.05,0.49,1.12,0.48,-1.51,#DIV/0!,0.79,B,B-,B,B-,D-,#DIV/0!,B
"Genesee & Orleans Counties PUMA, New York",1.10,0.00,1.69,1.73,0.53,#DIV/0!,1.27,0.44,0.49,-0.42,0.15,-0.81,#DIV/0!,0.66,B-,B-,C-,C,D,#DIV/0!,B-
