,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership,FT Work Access,Unemployment,Poverty,Working Poor,Income,Rent Burden,Homeownership
,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS,BABS
,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,SCORES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,,,,,,,,,,,,,,,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES,GRADES
,FT Work Access_BABS_Ratio,Unemployment_BABS_Ratio,Poverty_BABS_Ratio,Working Poor_BABS_Ratio,Income_BABS_Ratio,Rent Burden_BABS_Ratio,Homeownership_BABS_Ratio,FT Work Access_BABS_SCORES,Unemployment_BABS_SCORES,Poverty_BABS_SCORES,Working Poor_BABS_SCORES,Income_BABS_SCORES,Rent Burden_BABS_SCORES,Homeownership_BABS_SCORES,FT Work Access_BABS_GRADES,Unemployment_BABS_GRADES,Poverty_BABS_GRADES,Working Poor_BABS_GRADES,Income_BABS_GRADES,Rent Burden_BABS_GRADES,Homeownership_BABS_GRADES
Total GEOG-101,1.04,1.54,2.13,2.46,0.89,0.25,0.71,,,,,,,,,,,,,,
"St. Lawrence County PUMA, New York",1.42,#DIV/0!,0.00,0.00,0.68,0.00,1.18,1.39,#DIV/0!,0.36,0.35,-0.54,0.39,0.61,A-,#DIV/0!,B-,B-,C-,B-,B-
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.43,0.00,0.00,0.00,0.79,0.00,1.18,-1.94,0.30,0.36,0.35,-0.33,0.39,0.61,E,B-,B-,B-,C-,B-,B-
"Warren & Washington Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.00,0.00,0.00,#DIV/0!,#DIV/0!,#DIV/0!,0.52,-3.39,0.30,0.36,#DIV/0!,#DIV/0!,#DIV/0!,-0.76,E,B-,B-,#DIV/0!,#DIV/0!,#DIV/0!,D
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.42,0.00,0.00,0.00,0.86,0.00,0.70,-1.97,0.30,0.36,0.35,-0.20,0.39,-0.39,E,B-,B-,B-,C,B-,C-
"Jefferson & Lewis Counties PUMA, New York",#DIV/0!,#DIV/0!,9.91,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.64,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Oswego County PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",0.85,0.00,2.75,0.00,0.94,4.93,0.21,-0.55,0.30,0.08,0.35,-0.05,-1.86,-1.42,C-,B-,C,B-,C,E,D-
"Onondaga County (North) PUMA, New York",1.26,0.00,0.00,0.00,0.95,0.00,1.20,0.85,0.30,0.36,0.35,-0.02,0.39,0.66,B,B-,B-,B-,C,B-,B-
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",1.31,#DIV/0!,5.31,0.00,0.98,0.00,0.36,1.01,#DIV/0!,-0.18,0.35,0.04,0.39,-1.10,B,#DIV/0!,C,B-,C,B-,D
"Cayuga & Onondaga (South) Counties PUMA, New York",#DIV/0!,#DIV/0!,0.00,#DIV/0!,#DIV/0!,#DIV/0!,1.13,#DIV/0!,#DIV/0!,0.36,#DIV/0!,#DIV/0!,#DIV/0!,0.52,#DIV/0!,#DIV/0!,B-,#DIV/0!,#DIV/0!,#DIV/0!,B-
"Wayne & Seneca Counties PUMA, New York",1.21,0.00,0.00,0.00,4.09,3.56,1.14,0.66,0.30,0.36,0.35,5.93,-1.24,0.54,B-,B-,B-,B-,A,D,B-
"Monroe County (East) PUMA, New York",1.21,0.00,0.00,0.00,1.49,#DIV/0!,0.18,0.66,0.30,0.36,0.35,1.00,#DIV/0!,-1.48,B-,B-,B-,B-,B,#DIV/0!,D-
