Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
Capital Region,0.882,-0.177,C,0.925,-0.478,C-,0.946,-0.254,C-,5.569,2.621,A,1.243,1.418,A-,1.045,-0.220,C,2.437,0.216,C,,,
Central NY,1.021,1.071,B,0.979,-0.312,C-,4.144,2.534,A,0.000,-0.521,C-,0.983,-0.681,C-,0.941,-0.425,C-,0.403,-0.747,C-,,,
Finger Lakes,1.068,1.490,A-,1.092,0.037,C,0.418,-0.715,C-,0.126,-0.450,C-,1.276,1.685,A-,1.058,-0.194,C,6.033,1.918,A,,,
Long Island,0.905,0.036,C,0.898,-0.564,C-,1.013,-0.196,C,0.465,-0.258,C-,0.944,-0.996,D,0.379,-1.531,D-,2.250,0.127,C,,,
Mid-Hudson,0.862,-0.349,C-,0.951,-0.400,C-,0.686,-0.481,C-,0.641,-0.159,C,1.055,-0.097,C,1.396,0.471,B-,3.763,0.843,B,,,
Mohawk Valley,0.765,-1.224,D,1.726,2.002,A,1.532,0.257,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.031,-0.296,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.000,-0.938,D,,,
New York City,0.904,0.028,C,0.845,-0.727,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.647,-0.155,C,1.007,-0.485,C-,0.977,-0.353,C-,0.962,-0.482,C-,,,
North Country,0.696,-1.834,E,1.537,1.417,A-,0.916,-0.280,C-,0.000,-0.521,C-,0.893,-1.411,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
Southern Tier,0.924,0.201,C,0.675,-1.254,D-,0.366,-0.760,D,0.858,-0.037,C,1.116,0.392,B-,1.288,0.258,B-,#DIV/0!,#DIV/0!,#DIV/0!,,,
Western NY,0.986,0.758,B,1.170,0.278,B-,1.117,-0.105,C,0.000,-0.521,C-,1.125,0.469,B-,2.169,1.994,A,0.000,-0.938,D,,,
