Regions,Percentage_Full Time,Score_Full Time,Grades_Full Time,Level_Income,Score_Income,Grades_Income,Percentage_Poverty,Score_Poverty,Grades_Poverty,Percentage_Working Poor,Score_Working Poor,Grades_Working Poor,Percentage_Homeownership,Score_Homeownership,Grades_Homeownership,Percentage_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Percentage_Unemployment,Score_Unemployment,Grades_Unemployment,Score_OVERALL,Grades_OVERALL
Capital Region,49%,-1.80,E," $31,856.32 ",1.10,B,66%,0.87,B,65%,1.50,A-,30%,0.37,B-,64%,1.29,A-,12%,0.26,B-,0.51,B-
Central NY,79%,0.17,C," $11,580.07 ",-1.85,E,78%,1.59,A-,73%,1.95,A,40%,0.88,B,62%,1.22,B,0%,-0.36,C-,0.51,B-
Finger Lakes,73%,-0.22,C," $25,909.26 ",0.23,C,39%,-0.65,C-,23%,-0.82,D,65%,2.17,A,56%,0.93,B,18%,0.58,B-,0.32,B-
Long Island,79%,0.15,C," $30,477.42 ",0.90,B,33%,-1.05,D,22%,-0.86,D,59%,1.85,A,38%,0.06,C,6%,-0.07,C,0.14,C
Mid-Hudson,78%,0.08,C," $25,809.26 ",0.22,C,47%,-0.25,C,32%,-0.34,C-,20%,-0.17,C,35%,-0.07,C,5%,-0.09,C,-0.09,C
Mohawk Valley,98%,1.41,A-," $12,812.35 ",-1.68,D-,42%,-0.49,C-,23%,-0.85,D,31%,0.40,B-,11%,-1.25,D,42%,1.81,A,-0.09,C
New York City,76%,-0.02,C," $23,041.98 ",-0.18,C,54%,0.17,C,42%,0.20,C,17%,-0.31,C-,37%,-0.01,C,7%,0.01,C,-0.02,C
North Country,100%,1.55,A-," $24,932.93 ",0.09,C,76%,1.47,A-,51%,0.73,B-,1%,-1.13,D,77%,1.91,A,58%,2.65,A,1.04,B
Southern Tier,83%,0.41,B-," $29,273.82 ",0.72,B-,79%,1.62,A-,52%,0.75,B-,46%,1.19,B,59%,1.03,B,0%,-0.36,C-,0.76,B
Western NY,60%,-1.05,D," $21,780.21 ",-0.37,C-,67%,0.91,B,36%,-0.11,C,38%,0.78,B,21%,-0.77,D,7%,0.01,C,-0.09,C
Albany County (East Central)--Albany City ,4%,0.85,B," $39,156.50 ",1.39, A- ,81%,-1.07,D,54%,-0.50,C-,19%,-0.12,C,84%,-1.39,D-,0%,0.46,B-,-0.06,C
Albany County (Outside Albany City) ,0%,1.04,B," $39,174.30 ",1.39, A- ,0%,1.81,A,#DIV/0!,#DIV/0!,#DIV/0!,100%,2.47,A,0%,1.08,B,0%,0.46,B-,#DIV/0!,#DIV/0!
Broome (Outer West) & Tioga Counties ,#DIV/0!,#DIV/0!,#DIV/0!," $46,968.90 ",2.12, A ,0%,1.81,A,#DIV/0!,#DIV/0!,#DIV/0!,76%,1.70,A-,100%,-1.85,E,0%,0.46,B-,#DIV/0!,#DIV/0!
Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village ,36%,-0.48,C-," $61,988.50 ",3.53, A ,23%,0.98,B,0%,1.20,B,49%,0.83,B,52%,-0.43,C-,0%,0.46,B-,0.87,B
Cattaraugus & Allegany Counties ,#DIV/0!,#DIV/0!,#DIV/0!," $24,989.00 ",0.06, C ,0%,1.81,A,#DIV/0!,#DIV/0!,#DIV/0!,100%,2.47,A,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Cayuga & Onondaga (South) Counties ,#DIV/0!,#DIV/0!,#DIV/0!," $37,492.10 ",1.23, B ,0%,1.81,A,#DIV/0!,#DIV/0!,#DIV/0!,64%,1.32,A-,#DIV/0!,#DIV/0!,#DIV/0!,16%,-0.60,C-,#DIV/0!,#DIV/0!
Chautauqua County ,0%,1.04,B," $38,882.60 ",1.36, A- ,22%,1.02,B,0%,1.20,B,91%,2.19,A,0%,1.08,B,0%,0.46,B-,1.19,B
Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities ,#DIV/0!,#DIV/0!,#DIV/0!," $41,832.60 ",1.64, A- ,11%,1.43,A-,#DIV/0!,#DIV/0!,#DIV/0!,74%,1.65,A-,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
"Chenango, Delaware & Broome (East) Counties ; New York",0%,1.04,B," $28,929.80 ",0.43, B- ,29%,0.79,B,100%,-1.95,E,83%,1.94,A,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
"Clinton, Franklin, Essex & Hamilton Counties ; New York",5%,0.81,B," $25,626.50 ",0.12, C ,0%,1.81,A,51%,-0.41,C-,100%,2.47,A,0%,1.08,B,0%,0.46,B-,0.91,B
Columbia & Greene Counties ,0%,1.04,B," $23,840.20 ",-0.04, C ,0%,1.81,A,100%,-1.95,E,100%,2.47,A,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Dutchess County (North & East) ,2%,0.94,B," $30,255.70 ",0.56, B- ,10%,1.45,A-,23%,0.47,B-,72%,1.58,A-,65%,-0.83,D,0%,0.46,B-,0.66,B-
Dutchess County (Southwest) ,12%,0.55,B-," $24,588.70 ",0.03, C ,13%,1.34,A-,#DIV/0!,#DIV/0!,#DIV/0!,85%,2.00,A,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Erie County (Central) ,21%,0.16,C," $25,000.00 ",0.06, C ,28%,0.82,B,40%,-0.05,C,84%,1.97,A,#DIV/0!,#DIV/0!,#DIV/0!,0%,0.46,B-,#DIV/0!,#DIV/0!
Erie County (North Central) ,33%,-0.37,C-," $23,513.90 ",-0.07, C ,0%,1.81,A,100%,-1.95,E,80%,1.81,A,0%,1.08,B,0%,0.46,B-,0.40,B-
