Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Score_Overall,Grades_OVERALL
Capital Region,0.623,-1.317,D-,0.489,-0.957,D,1.477,0.093,C,6.349,-0.678,C-,1.408,-0.275,C-,2.188,-0.400,C-,7.047,-1.412,D-,-0.707,C-
Central NY,1.313,1.302,A-,0.526,-0.791,D,2.836,-1.345,D-,8.383,-1.299,D-,1.758,0.235,C,1.159,-1.425,D-,2.766,-0.029,C,-0.479,C-
Finger Lakes,1.083,0.430,B-,0.686,-0.080,C,0.662,0.957,B,1.378,0.840,B,1.096,-0.731,C-,2.660,0.070,C,0.000,0.864,B,0.336,B-
Long Island,1.154,0.700,B-,0.762,0.256,B-,1.792,-0.240,C,3.621,0.155,C,1.124,-0.691,C-,1.646,-0.940,D,0.973,0.550,B-,-0.030,C
Mid-Hudson,1.089,0.454,B-,0.920,0.956,B,1.083,0.510,B-,1.005,0.954,B,1.174,-0.617,C-,3.528,0.934,B,1.603,0.346,B-,0.505,B-
Mohawk Valley,0.763,-0.784,D,1.036,1.473,A-,1.720,-0.163,C,1.600,0.772,B,0.996,-0.878,D,4.209,1.613,A-,2.700,-0.008,C,0.289,B-
New York City,1.028,0.220,C,0.631,-0.323,C-,1.578,-0.013,C,2.959,0.357,B-,2.017,0.614,B-,3.129,0.537,B-,0.725,0.630,B-,0.289,B-
North Country,1.288,1.210,B,1.035,1.470,A-,0.235,1.409,A-,0.000,1.261,A-,1.597,0.001,C,1.275,-1.309,D-,9.299,-2.140,E,0.272,B-
Southern Tier,0.617,-1.339,D-,0.506,-0.878,D,0.940,0.662,B-,7.226,-0.946,D,1.482,-0.167,C,3.154,0.562,B-,0.000,0.864,B,-0.177,C
Western NY,0.739,-0.876,D,0.451,-1.125,D,3.333,-1.871,E,8.763,-1.415,D-,3.315,2.510,A,2.949,0.357,B-,1.639,0.335,B-,-0.298,C-
"St. Lawrence County PUMA, New York",1.429,0.9705391411,B,1.1251860277,0.8377102571,B,0,0.8968111985,B,0,0.3735413719,B-,1.0715120501,0.4963500055,B-,0,0.5797906832,B-,0,0.4011919333,B-,0.6508477987,B-
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.8968111985,B,#DIV/0!,#DIV/0!,#DIV/0!,0,-1.4680562415,D-,0,0.5797906832,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
